[2025-11-12 15:26:17] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-12 15:26:17] [DEBUG   ] discord.client: Dispatching event typing
[2025-11-12 15:26:17] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-11-12 15:26:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-11-12T15:26:19.135000+00:00', 'pinned': False, 'nonce': '1438188165721489408', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2020-05-12T10:03:42.175000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1438188166489182362', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'ping', 'components': [], 'channel_type': 0, 'channel_id': '709707367645708311', 'author': {'username': 'waithan', 'public_flags': 256, 'primary_guild': {'tag': 'MꚘSE', 'identity_guild_id': '116010036085391369', 'identity_enabled': True, 'badge': '9552f734ce76e28ed73fe7568b528e07'}, 'id': '647783236562583552', 'global_name': None, 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'MꚘSE', 'identity_guild_id': '116010036085391369', 'identity_enabled': True, 'badge': '9552f734ce76e28ed73fe7568b528e07'}, 'avatar_decoration_data': None, 'avatar': '6ca29c57b0b2fbe02a152e31f1272ddc'}, 'attachments': [], 'guild_id': '709707367645708308'}}
[2025-11-12 15:26:19] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-12 15:26:19] [DEBUG   ] discord.client: Dispatching event message
[2025-11-12 16:01:26] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-11-12 16:01:26] [DEBUG   ] discord.gateway: Received WSMessage(type=<WSMsgType.CLOSED: 257>, data=None, extra=None)
[2025-11-12 16:01:26] [DEBUG   ] discord.gateway: Websocket closed with 1006, attempting a reconnect.
[2025-11-12 16:01:26] [DEBUG   ] discord.client: Got a request to RESUME the websocket.
[2025-11-12 16:01:26] [DEBUG   ] discord.client: Dispatching event disconnect
[2025-11-12 16:01:26] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway-us-east1-b.discord.gg
[2025-11-12 16:01:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-flgf",{"micros":0.0}]']}}
[2025-11-12 16:01:26] [DEBUG   ] discord.gateway: Shard ID None has sent the RESUME payload.
[2025-11-12 16:01:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-12 16:01:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 9, 'd': False}
[2025-11-12 16:01:27] [INFO    ] discord.gateway: Shard ID None session has been invalidated.
[2025-11-12 16:01:27] [DEBUG   ] discord.client: Got a request to IDENTIFY the websocket.
[2025-11-12 16:01:27] [DEBUG   ] discord.client: Dispatching event disconnect
[2025-11-12 16:01:27] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway-us-east1-b.discord.gg
[2025-11-12 16:01:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-2jqs",{"micros":0.0}]']}}
[2025-11-12 16:11:06] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-12 16:11:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-12 16:11:06] [DEBUG   ] discord.gateway: Received WSMessage(type=<WSMsgType.CLOSED: 257>, data=None, extra=None)
[2025-11-12 16:11:06] [DEBUG   ] discord.gateway: Websocket closed with 1006, attempting a reconnect.
[2025-11-12 16:11:06] [DEBUG   ] discord.client: Got a request to RESUME the websocket.
[2025-11-12 16:11:06] [DEBUG   ] discord.client: Dispatching event disconnect
[2025-11-12 16:11:06] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway-us-east1-b.discord.gg
[2025-11-12 16:11:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-hxkz",{"micros":0.0}]']}}
[2025-11-12 16:11:06] [DEBUG   ] discord.gateway: Shard ID None has sent the RESUME payload.
[2025-11-12 16:11:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-12 16:11:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 9, 'd': False}
